Sno,Weight
0,-0.021099983
1,0.015834944
2,-0.0075492105
3,-0.0050987834
4,0.014679159
5,-0.003407553
6,0.006804997
7,-0.010535114
8,0.006049555
9,0.00016648308
10,-0.015541677
11,0.0047383932
12,0.0035383978
13,0.030864129
14,0.013330452
15,-0.005896994
16,-0.011704143
17,-0.0067362585
18,0.014905963
19,-0.019726679
20,-0.00967837
21,0.0068602473
22,0.010482865
23,0.023886299
24,0.009088962
25,0.016483296
26,0.021717584
27,-0.0023967596
28,-0.011604525
29,0.013817388
30,0.0056618224
31,0.014407529
32,-0.003059917
33,0.0050784755
34,-0.009994779
35,0.012178289
36,0.0028426007
37,-0.00071502186
38,-0.021647211
39,-0.0132744815
40,0.021477168
41,0.0003764214
42,-0.0069728256
43,-0.001272927
44,0.01302827
45,0.01786382
46,0.0028331492
47,0.00778102
48,0.008386099
49,0.020275444
50,0.013103863
51,0.008072535
52,-0.0072328066
53,-0.0040284344
54,-0.010046042
55,0.011467484
56,-0.02626077
57,-0.029706892
58,-0.004675435
59,0.0005202679
60,-0.014241319
61,0.0028871798
62,-0.03182715
63,0.0074001844
64,0.007867488
65,0.04663461
66,0.03260747
67,-0.01049637
68,-0.011658294
69,0.0018579764
70,-0.020854594
71,0.017544419
72,0.0055539664
73,-0.0030355705
74,-0.01359908
75,0.031786006
76,-0.0064724325
77,0.016651947
78,-0.01907905
79,-0.0029539522
80,-0.023278577
81,0.02011868
82,-0.00904587
83,0.0043844953
84,-0.019701367
85,0.0039561447
86,0.003753555
87,-0.005313946
88,-0.0016462158
89,-0.0024058197
90,0.01710581
91,0.0013575638
92,0.0123718465
93,-0.018535078
94,-0.011800304
95,0.01215936
96,0.012293229
97,-0.008748732
98,-0.021898096
99,-0.015441741
100,-0.0037888598
101,-0.0040292954
102,-0.008966853
103,0.0028596849
104,-0.00029243634
105,-0.0189766
106,-0.011172662
107,-0.019302418
108,0.018966218
109,-0.011638751
110,-0.014340505
111,-0.016762996
112,-0.01763224
113,-0.011579033
114,-0.004267323
115,0.0009660612
116,0.0060337433
117,-0.002516795
118,0.022175392
119,-0.01727565
120,0.012061551
121,-0.011230734
122,-0.015581813
123,0.012498389
124,0.012064107
125,0.010126864
126,0.0044743572
127,0.021978566
128,-0.0145455245
129,0.020410804
130,-0.03407927
131,-0.010628397
132,-0.02010993
133,0.009544232
134,0.0038326788
135,-0.0112289
136,0.0077633644
137,-0.010086953
138,-0.012305857
139,-0.008707175
140,-0.022095345
141,-0.009666984
142,0.005679965
143,-0.010541173
144,0.01600301
145,-0.0037208772
146,0.0045395335
147,-0.008006536
148,0.0013793822
149,-0.004059493
150,-0.014388577
151,-0.00026853467
152,0.002957905
153,0.009036966
154,0.015057505
155,0.010158121
156,-0.0017255212
157,-0.0028731641
158,-0.009122042
159,-0.004901795
160,0.007531221
161,0.0014416606
162,0.0077203
163,-0.01240232
164,-0.0138259735
165,-0.00095855515
166,0.00049083575
167,-0.005808874
168,-0.023535402
169,0.009190205
170,-0.02311045
171,-0.005852104
172,-0.010356726
173,0.0077190436
174,-0.028653102
175,-0.008863483
176,-0.024019303
177,-0.009766968
178,-0.009199566
179,0.006170688
180,-0.016322784
181,-0.0012490335
182,-0.0016722289
183,0.0009881408
184,-0.007967792
185,-0.00831284
186,0.004741559
187,-0.0017679887
188,-0.004647031
189,0.0075775576
190,-0.013429871
191,-0.0064310045
192,0.0013686222
193,-0.0068604923
194,0.011558756
195,-0.010060808
196,-0.00023867843
197,0.004725927
198,-0.009959068
199,0.008593622
200,-0.0033392578
201,0.0027832454
202,-0.009555678
203,0.026763052
204,-0.0054540834
205,-0.021150887
206,0.0110372575
207,0.018848896
208,0.016550453
209,-0.004765827
210,0.0033306377
211,0.002951834
212,0.017178077
213,0.005654092
214,0.0018648366
215,-0.0029143745
216,-0.0037898514
217,0.012776218
218,-0.01834402
219,-0.0048434823
220,0.011126966
221,0.0015574711
222,0.029974965
223,0.018540194
224,0.0057714493
225,0.00013031381
226,-0.0035980428
227,0.024968682
228,-0.0034275444
229,0.002870858
230,0.010588785
231,-0.0023058746
232,0.024531625
233,0.013760853
234,-0.02351157
235,-0.011734319
236,-0.0074940245
237,-0.017950311
238,0.0057824664
239,-0.022382727
240,0.018500179
241,-0.00851198
242,-0.008404539
243,-0.008109184
244,-0.00945933
245,0.0006269165
246,0.035614308
247,-0.018509373
248,-0.00130549
249,0.0058025396
250,0.004343272
251,0.005863968
252,0.010703025
253,0.0055826656
254,0.02266491
255,-0.009688428
