Sno,Weight
0,0.05448369
1,0.025250413
2,-0.02139143
3,0.02486837
4,0.010030205
5,0.0041620615
6,0.033792034
7,0.04145801
8,0.111545905
9,-0.045372885
10,-0.08307401
11,0.09508969
12,-0.015188235
13,-0.012274949
14,-0.0075108362
15,-0.004685168
16,0.03860591
17,-0.0024685808
18,0.030234933
19,0.025717821
20,-0.0016907305
21,0.015742792
22,0.04299077
23,0.005263092
24,0.039152797
25,-0.0041533364
26,0.014409049
27,0.04206757
28,0.03315582
29,0.026553938
30,-0.0013008727
31,0.03208107
32,0.03393739
33,0.024170913
34,0.021677762
35,0.027980568
36,0.02241596
37,0.035415176
38,0.016577618
39,0.029242689
40,0.051406525
41,0.023709558
42,-0.0076378593
43,0.014112531
44,0.020525344
45,0.046008773
46,-0.0069813575
47,0.035640944
48,0.01287776
49,0.051722832
50,0.0027331386
51,0.02250724
52,-0.0013885081
53,-0.4195794
54,0.024643673
55,0.051335238
56,0.029193858
57,0.02765484
58,0.018359145
59,0.0109625915
60,-0.1102726
61,0.100955606
62,0.0009927946
63,-0.10368511
64,-0.04661456
65,0.03649358
66,-0.014923637
67,0.05927535
68,0.033072483
69,0.049706645
70,-0.029088404
71,0.007568549
72,0.026316632
73,0.04387706
74,0.030783217
75,0.018059123
76,-0.013759919
77,-0.003273107
78,0.00093871454
79,-0.0070522423
80,-0.09392851
81,0.10587487
82,-0.0045940257
83,-0.07595413
84,0.024303887
85,0.04860689
86,0.021809502
87,0.02131364
88,0.03681696
89,0.012819598
90,0.020510722
91,0.0198368
92,0.06660525
93,-0.20297849
94,0.008318973
95,0.07700795
96,0.05279339
97,0.025548134
98,0.0104439845
99,0.0021111353
100,0.03773085
101,0.009724409
102,0.0020269698
103,0.036770374
104,0.039717462
105,0.022483448
106,0.0086601535
107,0.028704965
108,-0.06320929
109,0.09474352
110,-0.02574624
111,-0.101397276
112,-0.07571687
113,0.045074195
114,-0.0036937636
115,0.048535787
116,0.034034256
117,0.02118691
118,0.022420911
119,0.02493743
120,0.047394525
121,0.015288891
122,0.0076454724
123,0.017545793
124,0.016524317
125,0.03693404
126,0.034238182
127,0.01961362
128,0.012259015
129,0.021033602
130,0.026121467
131,0.02295387
132,-0.016329376
133,0.0071041565
134,0.00088278647
135,0.07560292
136,-4.766338e-05
137,0.18417792
138,-0.044242974
139,0.035439316
140,0.0075142784
141,0.04870329
142,0.01774314
143,0.02505405
144,0.0044475202
145,0.061216734
146,0.022818893
147,-0.012521446
148,-0.05667087
149,-0.06858279
150,0.037821457
151,0.019086627
152,-0.008215309
153,0.09740677
154,-0.055845205
155,-0.074098684
156,-0.12824377
157,0.07697161
158,0.01438235
159,0.012671479
160,0.081703186
161,-0.061879996
162,0.004272028
163,-0.17756945
164,-0.16999115
165,0.05341773
166,0.047010943
167,-0.08897817
168,0.020986928
169,0.036266953
170,0.0035642472
171,0.00555364
172,0.009803497
173,0.046399184
174,-0.00032243232
175,0.024489976
176,0.0026659805
177,-0.04554431
178,0.0058660908
179,0.06146531
180,0.024199285
181,0.01232654
182,0.03983426
183,0.031607043
184,0.032333504
185,0.015571598
186,0.02626769
187,0.030815935
188,0.033078376
189,-0.0005342013
190,0.020763984
191,0.039156936
192,0.024511749
193,0.03985177
194,0.018973269
195,0.013501562
196,-0.30436158
197,-0.3041217
198,-0.02270712
199,-0.040239394
200,0.006459001
201,0.02207775
202,0.046963744
203,0.016541163
204,0.025373697
205,0.034981046
206,0.019752864
207,0.007530576
208,0.011680635
209,0.017492961
210,-0.00058110204
211,0.028859068
212,0.028421365
213,0.0072047017
214,-0.005138399
215,0.041058224
216,0.031495832
217,0.0090288585
218,0.009460441
219,0.040057097
220,-0.0030003113
221,0.046379868
222,0.03018232
223,0.033295527
224,-0.03984046
225,0.09788975
226,-0.022610221
227,0.0040218187
228,-0.003445705
229,0.056765527
230,0.0033202383
231,0.007263869
232,-0.21095063
233,0.083017856
234,0.015530483
235,-0.006830086
236,0.0033488257
237,0.055044483
238,0.024949588
239,0.008403116
240,0.09904375
241,-0.0387122
242,-0.045428675
243,0.04873428
244,-0.11102348
245,0.0733491
246,0.008819238
247,-0.16454594
248,0.010159272
249,0.10920487
250,-0.016889341
251,-0.06997278
252,0.033709664
253,0.036568522
254,0.021585096
255,0.0321761
256,-0.18771249
257,0.048562102
258,0.037258685
259,-0.23405671
260,-0.32564357
261,-0.43730608
262,0.0024623761
263,-0.11398456
264,0.056123555
265,-0.33426353
266,0.032493923
267,0.0762046
268,0.021245703
269,0.017394966
270,-0.01775162
271,0.047773983
272,0.0110148145
273,0.025872549
274,0.0077675004
275,0.02580107
276,0.02695313
277,0.032958616
278,-0.00087746605
